Country	date	total	cum	increment	double1	double2	double3	double7
Japan	2020-03-02	18	274	15	1638400	9050.96679918782	1600	220.817902734762
Jordan	2020-03-31	6	274	13	409600	4525.48339959391	1007.9368399159	181.144732852781
Uruguay	2020-03-28	36	274	10	51200	1600	503.968419957949	134.590019263236
South Africa	2020-03-22	34	274	7	6400	565.685424949238	251.984209978975	99.9999999999999
Saudi Arabia	2020-03-19	103	274	6	3200	400	200	90.5723664263906
Lithuania	2020-03-25	65	274	4	800	200	125.992104989487	74.2997144568474
Afghanistan	2020-04-02	36	273	9	25600	1131.37084989848	400	121.901365420447
Azerbaijan	2020-03-30	64	273	9	25600	1131.37084989848	400	121.901365420447
United Kingdom	2020-03-08	67	273	5	1600	282.842712474619	158.74010519682	82.0335356007638
Thailand	2020-03-19	60	272	12	204800	3200	800	164.067071201527
Slovak Republic	2020-03-27	43	269	12	204800	3200	800	164.067071201527
Cuba	2020-04-03	36	269	9	25600	1131.37084989848	400	121.901365420447
Jordan	2020-03-30	9	268	12	204800	3200	800	164.067071201527
Mauritius	2020-04-07	24	268	12	204800	3200	800	164.067071201527
Honduras	2020-04-05	4	268	10	51200	1600	503.968419957949	134.590019263236
Switzerland	2020-03-07	54	268	4	800	200	125.992104989487	74.2997144568474
Chinese Taipei	2020-03-27	15	267	14	819200	6400.00000000001	1269.92084157456	200
Lebanon	2020-03-23	19	267	12	204800	3200	800	164.067071201527
Andorra	2020-03-27	43	267	8	12800	800	317.48021039364	110.408951367381
Estonia	2020-03-19	9	267	6	3200	400	200	90.5723664263906
Belgium	2020-03-10	28	267	5	1600	282.842712474619	158.74010519682	82.0335356007638
Singapore	2020-03-17	23	266	34	858993459200	6553600.00000001	129015.915509235	1449.15786282225
Kuwait	2020-03-30	11	266	28	13421772800	819200.000000002	32253.9788773088	799.999999999998
San Marino	2020-04-06	0	266	27	6710886400	579261.875148021	25600	724.578931411124
San Marino	2020-04-05	7	266	26	3355443200	409600.000000001	20318.733465193	656.268284806109
Iraq	2020-03-23	33	266	16	3276800	12800	2015.8736798318	243.802730840895
Uzbekistan	2020-04-04	39	266	11	102400	2262.74169979695	634.96042078728	148.599428913695
Argentina	2020-03-22	108	266	6	3200	400	200	90.5723664263906
Armenia	2020-03-25	16	265	9	25600	1131.37084989848	400	121.901365420447
Netherlands	2020-03-08	77	265	3	400	141.42135623731	100	67.2950096316178
Bulgaria	2020-03-26	22	264	11	102400	2262.74169979695	634.96042078728	148.599428913695
Honduras	2020-04-04	42	264	9	25600	1131.37084989848	400	121.901365420447
Algeria	2020-03-24	34	264	8	12800	800	317.48021039364	110.408951367381
Costa Rica	2020-03-27	32	263	9	25600	1131.37084989848	400	121.901365420447
Moldova	2020-03-29	32	263	9	25600	1131.37084989848	400	121.901365420447
Cyprus	2020-03-31	32	262	12	204800	3200	800	164.067071201527
United States	2020-03-06	45	262	11	102400	2262.74169979695	634.96042078728	148.599428913695
